-8,-3 0 0 0 0 
-30,12 0 0 0 0 
-27,11 0 0 0 0 
3,-8 0 0 0 0 
-27,10 0 0 0 0 
-7,15 -12.665 -12.665 -12.175 -12.665 
-27,14 0 0 0 0 
-15,-9 0 0 0 0 
-15,-7 0 0 0 0 
-1,2 0 0 0 0 
-15,-8 0 0 0 0 
-16,-7 0 0 0 0 
2,-5 0 0 0 0 
3,-6 0 0 0 0 
-17,-8 0 0 0 0 
-3,5 0 0 0 0 
-8,-5 0 0 0 0 
-29,15 0 0 0 0 
-16,-3 0 0 0 0 
-3,-5 0 0 0 0 
-21,3 0 0 0 0 
-2,-13 0 0 0 0 
-2,-8 0 0 0 0 
-16,0 0 0 0 0 
-1,-3 0 0 0 0 
1,-4 0 0 0 0 
2,-2 0 0 0 0 
-3,-4 0 0 0 0 
-7,-8 0 0 0 0 
0,-4 0 0 0 0 
-17,-7 0 0 0 0 
-15,0 0 0 0 0 
0,-7 0 0 0 0 
-6,-9 0 0 0 0 
-4,-9 0 0 0 0 
-28,11 0 0 0 0 
3,-5 0 0 0 0 
-7,-9 0 0 0 0 
-18,-3 0 0 0 0 
1,-8 0 0 0 0 
3,-2 0 0 0 0 
2,-3 0 0 0 0 
-16,-2 0 0 0 0 
-24,-1 0 0 0 0 
-7,-2 0 0 0 0 
-28,13 0 0 0 0 
-29,18 -13.9902 -14.0091 -13.6197 -13.7419 
-3,-8 0 0 0 0 
-18,-2 0 0 0 0 
-8,-2 0 0 0 0 
-16,-1 0 0 0 0 
-19,-2 0 0 0 0 
-7,10 0 0 0 0 
-3,12 0 0 0 0 
3,0 0 0 0 0 
-17,-1 0 0 0 0 
-3,-3 0 0 0 0 
-9,-5 0 0 0 0 
-7,9 0 0 0 0 
-34,-1 0 0 0 0 
1,3 0 0 0 0 
0,-3 0 0 0 0 
-7,-4 0 0 0 0 
-10,-5 0 0 0 0 
-22,5 -15.126 -14.7058 -14.7058 -14.7058 
-26,8 0 0 0 0 
-14,-1 0 0 0 0 
-12,-1 0 0 0 0 
-11,-6 0 0 0 0 
-19,-1 0 0 0 0 
-14,0 0 0 0 0 
-34,-3 -12.665 -12.175 -12.175 -12.665 
-21,1 0 0 0 0 
1,0 0 0 0 0 
-17,-5 0 0 0 0 
-17,-6 0 0 0 0 
-19,-4 0 0 0 0 
1,-2 0 0 0 0 
-21,-1 -6.228 -12.4786 -10.44 -11.4984 
-34,0 0 0 0 0 
1,4 0 0 0 0 
-7,8 0 0 0 0 
-2,-1 0 0 0 0 
-2,-3 -10.7079 -11.0642 -11.3856 -9.88992 
0,7 0 0 0 0 
-20,-2 0 0 0 0 
-17,-2 0 0 0 0 
-7,-7 0 0 0 0 
-27,9 0 0 0 0 
-3,-6 0 0 0 0 
-34,-2 0 0 0 0 
-1,3 0 0 0 0 
-13,-1 0 0 0 0 
-17,-3 0 0 0 0 
-18,-1 0 0 0 0 
-34,3 0 0 0 0 
-29,10 0 0 0 0 
-34,5 0 0 0 0 
-21,-3 0 0 0 0 
-27,8 0 0 0 0 
-11,-5 0 0 0 0 
-16,-8 0 0 0 0 
-11,-3 0 0 0 0 
-30,14 0 0 0 0 
-34,4 0 0 0 0 
-1,6 0 0 0 0 
-1,1 0 0 0 0 
-20,-6 0 0 0 0 
-22,4 0 0 0 0 
-29,13 0 0 0 0 
-22,-4 0 0 0 0 
-2,-14 0 0 0 0 
1,-7 0 0 0 0 
-22,-3 0 0 0 0 
3,1 -13.7039 -13.6157 -13.8772 -13.3389 
-2,-12 0 0 0 0 
-11,-4 0 0 0 0 
-22,3 0 0 0 0 
-24,1 0 0 0 0 
-23,0 0 0 0 0 
-3,3 0 0 0 0 
-2,1 0 0 0 0 
-7,-6 0 0 0 0 
1,1 0 0 0 0 
-22,0 0 0 0 0 
1,2 0 0 0 0 
-1,7 0 0 0 0 
